,index,num_acc_minuto,num_acc_fr_minuto,prom_sobrepaso_acc,prom_sobrepaso_fren,prom_abs_acc,std_acc,num_jerk_acc_minuto,num_jerk_freno_minuto,prom_sobrepaso_jerk_acc,prom_sobrepaso_jerk_freno,prom_abs_jerk,std_jerk,std_potencia,prom_abs_pot,consumption,kms,consumption_per_km,num_current_minuto,num_current_fr_minuto,prom_sobrepaso_current,prom_sobrepaso_current_fr,prom_abs_current,std_current,std_current_std_jerk,highway,slope,max_current,max_jerk,max_acc,max_pot,max_speed,mean_speed,std_speed,log_max_pot,log_max_jerk,log_prom_abs_current,highway_enc
0,0,0.0,0.0,1.0,1.0,0.28545454545454546,0.34865503090951144,0.0,0.0,1.0,1.0,0.4109999999999999,0.4603314023613857,0.0,0.0,0.20000000000000284,1.4339558,0.13947431294604956,0.0,0.0,1.0,1.0,4.654545454545453,0.4540397186543293,0.2090087404159164,trunk,0.2720627272727273,5.47,0.7899999999999999,0.57,0.0,86.0,66.45454545454545,12.64407874353554,-inf,-0.23572233352106997,1.5378442592470913,4
1,1,0.0,0.0,1.0,1.0,0.2942857142857143,0.2863492943370857,0.0,0.0,1.0,1.0,0.4166666666666667,0.4903966648427463,0.0,0.0,0.20000000000000284,1.400808,0.14277474143494528,0.0,0.0,1.0,1.0,4.3,0.20846376869169111,0.10222993690695503,trunk,0.8548422142857144,4.69,0.69,0.39,0.0,70.0,62.0,6.60807586719967,-inf,-0.37106368139083207,1.4586150226995167,4
2,2,0.0,0.38961038961038963,1.0,1.31,0.3578260869565217,0.45966166566389605,0.0,0.0,1.0,1.0,0.4477272727272727,0.5627766537299421,0.0,0.0,0.10000000000000142,1.31657949,0.07595439603878487,0.0,0.0,1.0,1.0,5.233043478260869,1.8767048707835459,1.0561656872182474,trunk,-0.8418351695652173,13.67,1.1600000000000001,0.73,0.0,69.0,28.91304347826087,22.04316641888708,-inf,0.1484200051182734,1.6549930358326945,4
3,3,0.0,0.0,1.0,1.0,0.335,0.4760186445928352,0.0,0.0,1.0,1.0,0.39999999999999997,0.47538598710384167,0.0,0.0,0.1999999999999993,1.532212,0.1305302399406866,0.0,0.0,1.0,1.0,4.885,0.5159215056575951,0.24526185423513608,trunk,-0.4283849125000001,6.25,0.32,0.51,0.0,90.0,75.375,10.027640371920576,-inf,-1.1394342831883648,1.586169285494746,4
4,4,0.0,0.0,1.0,1.0,0.28818181818181815,0.3917897057781368,0.0,0.0,1.0,1.0,0.49799999999999994,0.6214531358034973,0.0,0.0,0.10000000000000142,1.363916,0.073318298194318,0.0,0.0,1.0,1.0,6.287272727272728,2.1222247799252854,1.3188632443644555,trunk,0.19786334545454548,9.38,0.91,0.46,0.0,76.0,63.36363636363637,7.256345185735411,-inf,-0.09431067947124129,1.8385273880167192,4
6,6,0.18072289156626506,0.0,1.15,1.0,0.12916666666666668,0.30233351708924955,0.0,0.0,1.0,1.0,0.17936170212765956,0.36267391357408585,0.0,0.0,0.3000000000000007,1.3211892749999996,0.22706814661358857,0.0,0.0,1.0,1.0,4.64125,0.8025262846162736,0.29105534838785463,primary,0.9212680624999999,6.64,1.07,1.15,0.0,51.0,11.0625,18.53852371959881,-inf,0.06765864847381486,1.5349837265091528,0
7,7,0.0,0.0,1.0,1.0,0.15733333333333335,0.19391407031638178,0.0,0.0,1.0,1.0,0.1971428571428571,0.2543057776996594,0.0,0.0,0.3000000000000007,1.3647528999999998,0.21982001283895478,0.0,0.0,1.0,1.0,4.352666666666665,2.549374999659502,0.6483207919364786,primary,2.722310133333333,13.67,0.44,0.26,0.0,55.0,46.8,4.411025148096852,-inf,-0.8209805520698302,1.4707886840963318,0
8,8,0.0,0.0,1.0,1.0,0.16357142857142856,0.2229086478944288,0.0,0.0,1.0,1.0,0.24769230769230768,0.29409976973165586,0.0,0.0,0.3999999999999986,1.3517502,0.29591266196964394,0.0,0.0,1.0,1.0,4.272142857142856,0.10044035695935391,0.029539485853511304,primary,3.2342778571428563,4.3,0.55,0.6,0.0,59.0,50.285714285714285,6.741702266531017,-inf,-0.5978370007556204,1.4521155414412068,0
9,9,0.0,0.0,1.0,1.0,0.15076923076923077,0.19113488530014144,0.0,0.0,1.0,1.0,0.17416666666666666,0.21635073119564188,0.0,0.0,0.5,1.3716541,0.36452338822156405,0.0,0.0,1.0,1.0,4.179999999999999,0.17999999999999985,0.03894313161521551,primary,3.4504846153846156,4.3,0.27,0.45,0.0,58.0,46.61538461538461,6.344793949090094,-inf,-1.3093333199837622,1.4303112465366647,0
10,10,0.2459016393442623,0.0,1.34,1.0,0.1527777777777778,0.3005560690075713,0.0,0.2459016393442623,1.0,1.3,0.21457142857142858,0.4458913567684581,0.0,0.0,0.6000000000000014,1.35653518258,0.4423033089778467,0.0,0.0,1.0,1.0,4.6575000000000015,0.8343073474445734,0.3720104351139542,primary,2.2954980555555564,5.86,0.9000000000000001,1.34,0.0,53.0,19.805555555555557,21.134696516046706,-inf,-0.10536051565782616,1.5384788234936069,0
