zone,name,latitude,longitude
1.0,12 DE OCTUBRE # 1_1700,6.3067944989999996,-75.58077549
2.0,12 DE OCTUBRE # 1_1710,6.307167777999999,-75.5781712
3.0,12 DE OCTUBRE # 2_1740,6.30058701,-75.57912704
4.0,20 DE JULIO_1240,6.252234295,-75.62101156
5.0,ALEJANDO ECHAVARRIA_0380,6.237880546,-75.54560691
6.0,ALEJANDRÍA_0630,6.200269877,-75.56972107
7.0,ALEJANDRÍA_0710,6.198444152,-75.56638155
8.0,ALFONSO LÓPEZ_1830,6.2844528429999995,-75.57602858
9.0,ALTAMIRA - BOSQUES DE SAN PABLO_1630,6.2787873460000005,-75.58198045
10.0,ALTAVISTA_1000,6.2256669979999995,-75.60754717
11.0,ALTOS DEL POBLADO_0600,6.214428912000001,-75.55457092
12.0,ALTOS DEL POBLADO_0610,6.209797066,-75.55017519
13.0,ANDALUCIA_3300,6.297710837,-75.55413145
14.0,ANDALUCIA_3310,6.296982324,-75.55254381
15.0,ANDALUCIA_3340,6.298754776,-75.55659392
16.0,ANTONIO NARIÑO - EL SOCORRO_1260,6.259708937,-75.62033496
17.0,ARANJUEZ_2050,6.28073942,-75.56083908
18.0,ASOMADERA # 1_0500,6.228989809,-75.56321019
19.0,ASOMADERA # 2_0490,6.219791231,-75.56231534
20.0,ASOMADERA # 3_0480,6.219159897999999,-75.55866183
21.0,ASTORGA_0670,6.209969587000001,-75.57347723
22.0,AURES # 1_1660,6.287482627999999,-75.59457579
23.0,AURES # 2_1670,6.291983714,-75.59052305
24.0,AVES MARIAS_2910,6.151741985,-75.61580832
25.0,BARBOSA_2711,6.4333793460000015,-75.33852181
27.0,BARBOSA_2713,6.433995652,-75.32838719
28.0,BARBOSA_2714,6.436685732999999,-75.32716924
29.0,BARBOSA_2715,6.44021235,-75.32831764
30.0,BARBOSA_2716,6.440638171,-75.33039404
31.0,BARBOSA_2717,6.439386648999999,-75.33229856
32.0,BARBOSA_2718,6.4408193439999994,-75.33409329
33.0,BARBOSA_2719,6.4332040510000015,-75.34124076
34.0,BARRIO CAYCEDO_0340,6.242874134,-75.55421246
35.0,BARRIO COLOMBIA_0530,6.227328742999999,-75.57276439
36.0,BARRIO CRISTOBAL_1160,6.247807578,-75.60897396
37.0,BARRIO DE JESÚS - JUAN PABLO SEGUNDO - 8 DE MARZO_0420,6.2296969560000015,-75.53512052
38.0,BELÉN   _3830,6.232429292000001,-75.6008018
39.0,BELÉN - LA PALMA_3780,6.23005115,-75.59821205
40.0,BELÉN_3820,6.232735839,-75.60487004
41.0,BELÉN_3840,6.233438262999999,-75.59553018
42.0,BELENCITO_1190,6.248392077,-75.617374
43.0,BELLO_2450,6.313412509,-75.56962882
44.0,BELLO_2460,6.317475515,-75.56146443
45.0,BELLO HORIZONTE - VILLA FLORA_1650,6.280911409,-75.59025577
46.0,BELLO_2440,6.313200069,-75.58101507
47.0,BELLO_2470,6.309643004,-75.55011557
48.0,BELLO_2480,6.31708347,-75.55149169
49.0,BELLO_2490,6.326572289,-75.55430001
52.0,BELLO_2520,6.330521898,-75.56227683
53.0,BELLO_2530,6.337021999,-75.55655052
54.0,BELLO_2540,6.336807887000001,-75.55975048
55.0,BELLO_2550,6.3360099839999995,-75.56562724
56.0,BELLO_2560,6.341152712,-75.56633547
