,num_acc_min,num_acc_fr_min,prom_sobrepaso_acc,prom_sobrepaso_fren,prom_abs_acc,std_acc,num_jerk_acc_min,num_jerk_freno_min,prom_sobrepaso_jerk_acc,prom_sobrepaso_jerk_freno,prom_abs_jerk,std_jerk,std_pot,prom_abs_pot,consumption,kms,consumption_per_km,num_current_min,num_current_fr_min,prom_sobrepaso_current,prom_sobrepaso_current_fr,prom_abs_current,std_current,std_current_std_jerk,highway,slope,max_current,max_jerk,max_acc,max_pot,max_speed,mean_speed,std_speed,iqr_pot,mean_soc
0,0.0,0.0,1.0,1.0,0.18454545454545454,0.2311952414506438,0.0,0.0,1.0,1.0,0.262,0.3324093861490677,17.927517996662594,27.395454545454548,0.5,1.4050266999999999,0.35586512341722765,0.0,0.0,1.0,1.0,58.94090909090908,26.648225748390644,8.858120362984314,primary,3.0540563636363642,95.08,0.35,0.45,49.06800000000001,64.0,57.0,5.291502622129181,14.3125,94.72727272727273
1,0.0,0.0,1.0,1.0,0.0911111111111111,0.11383331977658397,0.0,0.0,1.0,1.0,0.16,0.1747140520965615,6.14417473790228,24.331111111111106,0.5,1.39348,0.3588139047564371,0.0,0.0,1.0,1.0,57.47,10.122330649498553,1.7685134044351112,primary,4.241514444444444,73.0,0.23,0.16,33.024,66.0,56.22222222222222,6.495725089968359,8.143,93.22222222222223
2,0.0,0.0,1.0,1.0,0.30583333333333335,0.3735890121510535,0.0,0.0,1.0,1.0,0.4390909090909091,0.5310553970262837,17.903656870990538,21.565749999999998,0.5,1.3402143,0.3730746642533213,0.0,0.0,1.0,1.0,55.62833333333334,37.46865167487794,19.897929691241835,primary,3.9960624999999994,107.63,0.96,0.61,47.091,70.0,57.75,7.123903424387503,29.664499999999997,91.58333333333333
3,0.0,0.0,1.0,1.0,0.2,0.2634567658186468,0.0,0.0,1.0,1.0,0.2966666666666667,0.40036441733334227,18.985424691015602,16.452615384615385,0.3999999999999986,1.3766045999999998,0.29057000100101266,0.0,0.0,1.0,1.0,34.12461538461539,36.86848870202843,14.760830997148524,primary,1.827963846153846,90.8,0.95,0.39,42.636,62.0,54.61538461538461,4.628506986391716,29.353,90.23076923076923
4,0.0,0.0,1.0,1.0,0.25181818181818183,0.3327645284656384,0.0,0.0,1.0,1.0,0.35500000000000004,0.4591089195387081,22.368788951875644,20.85609090909091,0.19999999999999574,1.3068179000000002,0.15304351126503218,0.0,0.0,1.0,1.0,45.89545454545455,42.33717351402931,19.437373988348806,primary,0.754480909090909,81.15,0.97,0.53,38.097,62.0,53.90909090909091,6.394599994597715,33.167,89.63636363636364
5,0.0,0.0,1.0,1.0,0.2433333333333333,0.3123783713920991,0.0,0.0,1.0,1.0,0.49375,0.5890020691814248,10.45985327069383,15.239777777777777,-0.29999999999999716,1.3730618999999997,-0.21848978549328127,0.0,0.0,1.0,1.0,28.424444444444443,21.962315704658995,12.93584939405985,primary,-3.621962222222222,26.93,0.87,0.72,0.287,62.0,49.111111111111114,6.67915496983796,1.879999999999999,90.0
6,0.0,0.0,1.0,1.0,0.13285714285714287,0.17410998166183841,0.0,0.0,1.0,1.0,0.16461538461538464,0.230489574139444,9.204844638636143,13.02892857142857,-0.30000000000000426,1.3863225000000001,-0.21639986366808894,0.0,0.0,1.0,1.0,22.557142857142853,15.010818683570207,3.4598372058605062,primary,-4.560337857142857,6.05,0.48,0.34,6.711,62.0,54.92857142857143,5.703767792693443,3.7925000000000004,90.92857142857143
7,0.0,0.0,1.0,1.0,0.13285714285714287,0.20486431547515063,0.0,0.0,1.0,1.0,0.18923076923076923,0.26943289116259855,4.8071459716610585,11.06707142857143,-0.30000000000000426,1.3929543999999996,-0.21536957706584248,0.0,0.0,1.0,1.0,26.31714285714285,12.31215021258037,3.3172982282037315,primary,-3.8893871428571427,2.45,0.45,0.44,0.581,58.0,50.857142857142854,5.216204674741129,1.2515,91.92857142857143
8,0.0,0.0,1.0,1.0,0.2968,0.39025038116573313,0.3409090909090909,0.0,1.0266666666666666,1.0,0.3416666666666666,0.4807517261770593,8.165844251857857,5.61396,0.0,1.3871954958600003,0.0,0.0,0.0,1.0,1.0,10.1228,12.682471140909408,6.097119893182937,primary,-0.8477020679999999,21.07,1.54,0.85,19.225,47.0,28.52,18.161589504592744,6.147,96.0
9,0.0,0.34285714285714286,1.0,1.14,0.246,0.3757845127197234,0.0,0.0,1.0,1.0,0.3368421052631579,0.46517205585809485,9.887054810584393,6.714950000000002,0.10000000000000142,1.3538621605599999,0.07386276307378166,0.0,0.0,1.0,1.0,11.8905,14.985226883500966,6.970708796898136,primary,-0.1696902449999999,25.02,1.18,0.86,13.974,49.0,32.85,17.35170247979628,10.53225,96.0
